caseid,task,user,end_timestamp,role,dur,ac_index,rl_index,dur_norm
1-109135791,Queued-Awaiting Assignment,Minnie,Wed Jan 11 15:49:42 CET 2006,Rolle 1,0,1,2,0.0
1-109135791,Accepted-In Progress,Minnie,Thu Mar 15 11:53:52 CET 2012,Rolle 1,194817850,2,2,0.7342692304664177
1-109135791,Accepted-Assigned,Minnie,Thu Mar 15 11:56:17 CET 2012,Rolle 1,145,3,2,0.19171156563300012
1-109135791,Accepted-In Progress,Minnie,Thu Mar 15 12:09:05 CET 2012,Rolle 1,768,2,2,0.25562627435087204
1-109135791,Completed-Closed,Minnie,Thu Mar 15 12:11:33 CET 2012,Rolle 1,148,4,2,0.19249400152844065
1-147898401,Accepted-In Progress,Tomas,Tue Nov 07 10:00:36 CET 2006,Rolle 1,0,2,2,0.0
1-147898401,Accepted-In Progress,Tomas,Tue Nov 07 13:05:44 CET 2006,Rolle 1,11108,2,2,0.3583531584735222
1-147898401,Accepted-Wait,Tomas,Wed Dec 02 14:24:32 CET 2009,Rolle 1,96859128,5,2,0.7073872016332201
1-147898401,Accepted-In Progress,Tomas,Sat Sep 03 07:09:09 CEST 2011,Rolle 1,55266277,2,2,0.6858027636938033
1-147898401,Accepted-In Progress,Carrie,Fri Jan 20 10:23:24 CET 2012,Rolle 1,12024855,2,2,0.6271311980397647
1-147898401,Completed-Closed,Carrie,Fri Jan 20 10:23:27 CET 2012,Rolle 1,3,4,2,0.053328579595512036
1-165554831,Accepted-In Progress,Tomas,Tue Mar 20 09:06:25 CET 2007,Rolle 1,0,2,2,0.0
1-165554831,Accepted-Wait,Tomas,Wed Dec 02 14:24:31 CET 2009,Rolle 1,85382286,5,2,0.7025356014845133
1-165554831,Accepted-In Progress,Tomas,Sat Sep 03 07:10:53 CEST 2011,Rolle 1,55266382,2,2,0.6858028367796409
1-165554831,Accepted-In Progress,Carrie,Wed Jan 18 08:52:41 CET 2012,Rolle 1,11846508,2,2,0.6265563789386729
1-165554831,Completed-Closed,Carrie,Wed Jan 18 08:52:43 CET 2012,Rolle 1,2,4,2,0.04226189943780499
1-172473423,Accepted-In Progress,Tomas,Thu May 10 16:21:54 CEST 2007,Rolle 1,0,2,2,0.0
1-172473423,Accepted-Wait,Tomas,Wed Dec 02 14:24:33 CET 2009,Rolle 1,80953359,5,2,0.7004865616060355
1-172473423,Accepted-In Progress,Tomas,Sat Sep 03 07:10:59 CEST 2011,Rolle 1,55266386,2,2,0.6858028395638606
1-172473423,Accepted-In Progress,Carrie,Wed Jan 18 08:20:53 CET 2012,Rolle 1,11844594,2,2,0.6265501632222795
1-172473423,Completed-Closed,Carrie,Wed Jan 18 08:21:10 CET 2012,Rolle 1,17,4,2,0.111188088673366
1-182640781,Accepted-In Progress,Niklas,Wed Jul 25 14:21:05 CEST 2007,Rolle 1,0,2,2,0.0
1-182640781,Accepted-Wait,Niklas,Wed Dec 02 14:24:32 CET 2009,Rolle 1,74394207,5,2,0.6972361671492797
1-182640781,Queued-Awaiting Assignment,Niklas,Wed Aug 25 11:13:01 CEST 2010,Rolle 1,22967309,1,2,0.652023973119573
1-182640781,Accepted-In Progress,Niklas,Mon Sep 05 09:24:13 CEST 2011,Rolle 1,32479872,2,2,0.6653551607058551
1-182640781,Accepted-Assigned,Niklas,Mon Nov 14 16:10:25 CET 2011,Rolle 1,6075972,3,2,0.6008713454295157
1-182640781,Accepted-In Progress,Niklas,Tue Jan 03 11:30:35 CET 2012,Rolle 1,4303210,2,2,0.5876004783483816
1-182640781,Completed-Closed,Niklas,Tue Jan 03 11:31:53 CET 2012,Rolle 1,78,4,2,0.16808583669090954
1-230541365,Accepted-In Progress,Tomas,Wed May 07 18:58:51 CEST 2008,Rolle 1,0,2,2,0.0
1-230541365,Accepted-In Progress,Tomas,Mon Oct 06 16:44:37 CEST 2008,Rolle 1,13124746,2,2,0.6304980977872731
1-230541365,Accepted-Wait,Tomas,Wed Dec 02 14:24:34 CET 2009,Rolle 1,36455997,5,2,0.6697977034977526
1-230541365,Accepted-In Progress,Tomas,Fri Sep 02 00:27:50 CEST 2011,Rolle 1,55155796,2,2,0.6857257857346445
1-230541365,Accepted-In Progress,Tomas,Fri Sep 02 00:27:55 CEST 2011,Rolle 1,5,2,2,0.06892618923556101
1-230541365,Accepted-In Progress,Carrie,Fri Jan 20 07:53:32 CET 2012,Rolle 1,12126337,2,2,0.6274544845048791
1-230541365,Completed-Closed,Carrie,Fri Jan 20 07:53:35 CET 2012,Rolle 1,3,4,2,0.053328579595512036
