CaseID,Activity,Timestamp
1,Assign seriousness-complete,15622.493252314815
1,Take in charge ticket-complete,15622.493761574075
1,Take in charge ticket-complete,15625.502037037037
1,Resolve ticket-complete,15638.37113425926
1,Closed-complete,15653.454618055555
2,Assign seriousness-complete,15433.246967592593
2,Take in charge ticket-complete,15433.247141203703
2,Resolve ticket-complete,15435.261018518519
2,Closed-complete,15479.250324074073
3,Assign seriousness-complete,14911.301458333333
3,Take in charge ticket-complete,14916.594571759259
3,Resolve ticket-complete,14916.598113425925
3,Closed-complete,14943.389097222222
4,Assign seriousness-complete,14958.522141203704
4,Take in charge ticket-complete,14959.250775462962
4,Resolve ticket-complete,14959.255775462963
4,Closed-complete,15017.52826388889
5,Assign seriousness-complete,15433.422592592593
5,Take in charge ticket-complete,15433.44829861111
5,Resolve ticket-complete,15433.449560185185
5,Take in charge ticket-complete,15433.468773148148
5,Resolve ticket-complete,15433.546851851852
5,Closed-complete,15485.423935185185
6,Assign seriousness-complete,15272.509699074075
6,Take in charge ticket-complete,15272.540914351852
6,Resolve ticket-complete,15273.288032407407
6,Closed-complete,15318.59787037037
7,Assign seriousness-complete,16015.366377314815
7,Assign seriousness-complete,16015.367280092592
7,Assign seriousness-complete,16031.250092592592
7,Take in charge ticket-complete,16034.262581018518
7,Resolve ticket-complete,16034.289803240741
7,Closed-complete,16049.290011574074
8,Assign seriousness-complete,15526.229537037038
8,Take in charge ticket-complete,15526.267881944445
8,Resolve ticket-complete,15526.281087962963
8,Closed-complete,15585.236423611112
9,Insert ticket-complete,14736.418298611112
9,Assign seriousness-complete,14736.418449074074
9,Take in charge ticket-complete,14753.310046296296
9,Resolve ticket-complete,14754.524814814815
9,Closed-complete,14769.524953703703
10,Assign seriousness-complete,14650.284953703704
10,Take in charge ticket-complete,14687.282708333334
10,Resolve ticket-complete,14687.282789351852
10,Closed-complete,14702.19974537037
11,Assign seriousness-complete,15329.55880787037
11,Take in charge ticket-complete,15329.559421296297
11,Resolve ticket-complete,15330.330358796296
11,Closed-complete,15360.562858796296
12,Assign seriousness-complete,15782.366365740741
12,Take in charge ticket-complete,15782.54431712963
12,Resolve ticket-complete,15798.17613425926
12,Closed-complete,15813.17630787037
13,Assign seriousness-complete,15691.324872685185
13,Take in charge ticket-complete,15707.30744212963
13,Resolve ticket-complete,15709.353888888889
13,Closed-complete,15724.3540625
14,Assign seriousness-complete,15160.449398148148
14,Take in charge ticket-complete,15160.449560185185
14,Resolve ticket-complete,15160.45320601852
14,Closed-complete,15191.451631944445
15,Assign seriousness-complete,15756.332256944444
15,Assign seriousness-complete,15772.267847222221
15,Take in charge ticket-complete,15772.271331018519
15,Resolve ticket-complete,15772.273703703704
15,Closed-complete,15787.273900462964
16,Assign seriousness-complete,15392.511712962963
16,Take in charge ticket-complete,15392.593136574074
16,Take in charge ticket-complete,15392.599965277777
16,Resolve ticket-complete,15393.32474537037
16,Closed-complete,15423.514108796297
17,Assign seriousness-complete,15261.174155092593
17,Take in charge ticket-complete,15280.59574074074
17,Resolve ticket-complete,15287.480289351852
17,Closed-complete,15302.581886574075
18,Assign seriousness-complete,15765.587627314815
18,Take in charge ticket-complete,15782.5028125
18,Resolve ticket-complete,15783.349074074074
18,Resolve ticket-complete,15783.349074074074
18,Closed-complete,15798.265983796296
19,Assign seriousness-complete,14797.204212962963
19,Take in charge ticket-complete,14799.299212962964
19,Resolve ticket-complete,14799.29951388889
19,Closed-complete,14828.208587962963
20,Assign seriousness-complete,15834.174039351852
20,Take in charge ticket-complete,15860.439594907408
20,Wait-complete,15866.254664351853
20,Resolve ticket-complete,15875.258356481481
20,Closed-complete,15890.258506944445
21,Assign seriousness-complete,14988.552326388888
21,Take in charge ticket-complete,15001.254594907406
21,Resolve ticket-complete,15001.34670138889
21,Closed-complete,15031.346956018519
22,Assign seriousness-complete,15544.20074074074
22,Take in charge ticket-complete,15544.200856481482
22,Wait-complete,15544.24443287037
22,Resolve ticket-complete,15579.295405092593
22,Closed-complete,15594.295520833333
23,Assign seriousness-complete,15693.606516203703
23,Take in charge ticket-complete,15708.268217592593
23,Resolve ticket-complete,15727.577002314814
23,Closed-complete,15742.577152777778
24,Assign seriousness-complete,14726.284675925926
24,Take in charge ticket-complete,14768.338148148148
24,Resolve ticket-complete,14768.490462962964
24,Closed-complete,14783.490601851852
25,Assign seriousness-complete,14973.310613425925
25,Take in charge ticket-complete,14973.468101851851
25,Resolve ticket-complete,14973.55318287037
